longitud_onda,intensidad
2018.66683959961,1037.69696784839
2019.0739440918,1086.83488473259
2019.48120117188,1090.91946079759
2019.88815307617,1139.09986170645
2020.29495239258,1118.83746318207
2020.70190429688,1036.78241660426
2021.10870361328,1119.45727054581
2021.51550292969,901.668448670995
2021.9221496582,1250.16314041583
2022.32879638672,1081.0203430165
2022.73544311523,1219.75896535307
2023.14208984375,1103.64343593464
2023.54858398438,1251.15537102016
2023.95492553711,1418.72551020592
2024.36111450195,1534.72970464755
2024.76745605469,1978.67409042657
2025.17395019531,3622.01943227481
2025.57998657227,2886.5326187771
2025.98617553711,1238.99740339019
2026.39221191406,1052.73253701
2026.79809570313,1055.40466138562
2027.20428466797,1022.21715567602
2027.61001586914,1143.81134161735
2028.0158996582,1054.41606123659
2028.42163085938,1088.53586073085
2028.82736206055,1121.44837640358
2029.23309326172,1075.67130119372
2029.638671875,1159.80302682264
2030.04425048828,1055.82485741846
2030.44967651367,1169.63608413739
2030.85494995117,1343.4507082629
2031.26052856445,1162.96097502029
2031.66580200195,1147.7995126786
2032.07092285156,1207.20129955158
2032.47619628906,1227.1713407158
2032.88131713867,1295.94337564069
2033.28643798828,1252.04241416193
2033.69155883789,1218.77459464105
2034.09652709961,1250.58203537362
2034.50119018555,1328.2996790004
2034.90615844727,1731.24560646302
2035.31097412109,2950.51227468355
2035.71563720703,4363.02051130188
2036.12030029297,2394.36365043558
2036.52481079102,2817.96732508281
2036.92947387695,4547.79810418665
2037.333984375,2438.84659116546
2037.73849487305,1614.11431128194
2038.14270019531,1335.77432360105
2038.54721069336,1222.60230733833
2038.95141601563,1338.74194044784
2039.35546875,1331.63043004506
2039.75967407227,1359.8452432233
2040.16372680664,1299.36180412654
2040.56793212891,1198.30911500823
2040.97183227539,1354.80327941388
2041.37588500977,1290.09590213264
2041.77963256836,1446.17562897381
2042.18338012695,1620.57972888839
2042.58697509766,1675.73180424255
2042.99057006836,2329.88656720741
2043.39416503906,4682.03728187076
2043.79791259766,4951.76601845285
2044.20150756836,2251.10171337955
2044.60479736328,1825.21956226069
2045.0080871582,1701.81934170057
2045.41168212891,1518.64428523875
2045.81481933594,1326.46356738059
2046.21795654297,1458.90669128006
2046.62109375,1363.73034449743
2047.02407836914,1274.8146865837
2047.42721557617,1272.70289530322
2047.83020019531,1288.98038305207
2048.23303222656,1251.97634174096
2048.63586425781,1223.13193563125
2049.03869628906,1270.95368953846
2049.44137573242,1371.04515082536
2049.84405517578,1105.23425977724
2050.24673461914,1185.70912872508
2050.64926147461,1138.49471939498
2051.05163574219,1116.64679128633
2051.45401000977,1223.11002233248
2051.85653686523,1233.57319373942
2052.25891113281,1107.78812981712
2052.6611328125,1173.21818973367
2053.0632019043,1191.55439058631
2053.46542358398,1197.65329225689
2053.86764526367,1453.90348629582
2054.26956176758,2063.99841408318
2054.67147827148,4166.67321177046
2055.07339477539,2886.00901670001
2055.47515869141,1491.14136193004
2055.87707519531,1284.73660690484
2056.27883911133,1249.6130748306
2056.68045043945,1052.03028206803
2057.08206176758,1220.21312448773
2057.48352050781,1243.40181446704
2057.88513183594,1019.7519924251
2058.28643798828,1137.48492615617
2058.68774414063,1204.89809633993
2059.08905029297,1124.32430414458
2059.49035644531,1046.95829688786
2059.89151000977,1123.94304728229
2060.29266357422,1268.33405153451
2060.69381713867,1131.65860565475
2061.09481811523,1241.79225037803
2061.4958190918,1792.5804805872
2061.89682006836,2017.34511033945
2062.29751586914,1344.20365753629
2062.69836425781,1109.33804679856
2063.09906005859,1088.67046040094
2063.49960327148,1252.85626829709
2063.90029907227,1220.98860437534
2064.30084228516,1084.57550008205
2064.70138549805,1227.27891985804
2065.10162353516,1153.008803435
2065.50201416016,1210.94385382956
2065.90255737305,1146.17994370615
2066.30264282227,1109.9126737598
2066.70288085938,1129.89619282291
2067.1028137207,1152.67691566371
2067.50289916992,1210.40593869185
2067.90283203125,1110.3358515671
2068.30291748047,1074.37138870494
2068.7028503418,1149.67782164288
2069.10263061523,1162.38082183891
2069.50241088867,1149.80417534675
2069.90219116211,1019.41768595927
2070.30181884766,1241.5596382004
2070.70129394531,1138.04419155222
2071.10092163086,1098.52732422906
2071.50039672852,1138.21637978652
2071.89971923828,1190.79613203814
2072.29919433594,1146.89832395925
2072.69836425781,1220.42279601679
2073.09768676758,1125.70306582436
2073.49685668945,1138.26264006949
2073.89617919922,1119.61528256652
2074.29504394531,1304.14533067528
2074.6940612793,1308.21009908712
2075.09292602539,1135.80105896592
2075.49179077148,1138.34747640237
2075.89065551758,1171.44377745547
2076.28936767578,1279.80049035018
2076.68823242188,1223.91584221119
2077.08679199219,1194.92416503067
2077.48519897461,1152.72001997361
2077.88391113281,1212.18023222083
2078.28231811523,1339.56578996993
2078.68072509766,1224.86980420452
2079.07913208008,1248.61030599201
2079.47723388672,1127.6074626357
2079.87548828125,1203.90304597714
2080.27359008789,1144.68806213791
2080.67184448242,1254.73893180691
2081.06979370117,1160.22468433985
2081.46774291992,1020.97665055975
2081.86569213867,1234.88936409113
2082.26364135742,1200.59235799048
2082.66143798828,1240.77542074083
2083.05908203125,1149.46950209643
2083.45672607422,1175.53101415923
2083.85437011719,1180.05556129378
2084.25186157227,1223.07098476844
2084.64950561523,1293.79345693671
2085.04684448242,1380.21936328813
2085.4443359375,1404.2215046843
2085.8415222168,1131.90774506603
2086.23901367188,1188.13811116603
2086.63619995117,1334.1245453632
2087.03323364258,1255.58101898508
2087.43026733398,1247.00334293325
2087.82730102539,1207.96717535378
2088.22418212891,1267.22511293731
2088.6213684082,1249.49595111283
2089.01809692383,1255.36493221525
2089.41497802734,1212.8665027527
2089.81155395508,1165.57108870125
2090.2082824707,1163.84677143556
2090.60501098633,1385.65040604921
2091.00143432617,1015.79970856141
2091.39785766602,1201.98525787826
2091.79428100586,1235.92474413175
2092.19055175781,1152.17918368598
2092.58697509766,1173.41744147245
2092.98324584961,1344.5186758152
2093.37936401367,1251.12236367926
2093.77548217773,1254.5006555302
2094.17175292969,1292.63927060255
2094.56756591797,1301.57633687989
2094.96353149414,1247.67340663738
2095.35949707031,1248.2771788765
2095.7551574707,1111.18243474772
2096.15097045898,1171.9433291602
2096.54678344727,1292.97980445452
2096.94244384766,1230.25477309251
2097.33795166016,1005.1236160772
2097.73330688477,1206.43750710307
2098.12911987305,1367.25236576112
2098.52447509766,1294.55354940857
2098.91967773438,1256.98494286902
2099.31488037109,1231.53191856724
2099.71008300781,1307.44238449544
2100.10528564453,1122.16507144375
2100.50033569336,1184.31664120923
2100.89553833008,1166.25934582692
2101.29043579102,1138.47580359469
2101.68533325195,1187.2224007781
2102.08038330078,1193.6256134693
2102.47512817383,1267.89214272325
2102.86987304688,1257.50185674434
2103.26461791992,1202.72013580744
2103.65905761719,1346.73046710891
2104.05364990234,1753.07545204389
2104.44808959961,3123.13165159381
2104.84252929688,2622.65743969709
2105.23696899414,1423.53415942762
2105.63125610352,1218.69431778417
2106.025390625,1159.99522387417
2106.41967773438,1258.6204223433
2106.81396484375,1184.87707251046
2107.20809936523,1182.79793255097
2107.60208129883,1135.25177160739
2107.99591064453,1128.20792987147
2108.38989257813,1239.40778712229
2108.78372192383,1252.80639474363
2109.17739868164,1272.06351475559
2109.57122802734,1148.76596133866
2109.96475219727,1314.64197998947
2110.35842895508,1329.01490975346
2110.751953125,1368.09743156367
2111.14532470703,1709.80670990552
2111.53884887695,3055.40322704655
2111.93206787109,4963.38546493299
2112.32543945313,2336.4545145482
2112.71881103516,1453.86996559394
2113.11187744141,1484.47294991952
2113.50494384766,1338.25293071821
2113.89801025391,1341.01210101355
2114.29122924805,1334.99078409253
2114.68399047852,1343.44332549967
2115.07690429688,1418.75167494111
2115.46966552734,1244.5698921702
2115.86227416992,1360.93786538265
2116.2548828125,1305.74966608212
2116.64779663086,1301.5429223786
2117.04025268555,1479.13180622726
2117.43270874023,1472.3198220579
2117.82516479492,1323.64706329006
2118.21762084961,1238.42773525487
2118.60992431641,1282.65330045649
2119.00207519531,1292.39650676345
2119.39437866211,1301.14997145054
2119.78652954102,1287.70967938173
2120.17852783203,1329.46955835642
2120.57067871094,1283.75161215736
2120.96267700195,1412.51921809341
2121.35452270508,1390.0311157721
2121.74621582031,1500.5095138388
2122.13821411133,1898.2910753315
2122.52990722656,4077.37464061131
2122.9216003418,4468.68131234238
2123.31298828125,1966.05681146751
2123.70452880859,1597.85458226675
2124.09606933594,1576.34444353773
2124.4873046875,1466.89025722447
2124.87884521484,1444.01089011713
2125.27008056641,2150.06724274927
2125.66131591797,4543.37748070498
2126.05255126953,3838.9176950394
2126.4436340332,1470.22011726876
2126.83471679688,1446.92896404385
2127.22549438477,1341.58208030438
2127.61657714844,1277.49890547228
2128.00735473633,1288.57137183348
2128.39813232422,1339.367012428
2128.7890625,1312.94687791858
2129.1796875,1217.07563713459
2129.5703125,1269.284945217
2129.96078491211,1290.65126823066
2130.35125732422,1280.20933836846
2130.74172973633,1268.72754417026
2131.13220214844,1362.15743194517
2131.52236938477,1314.95986964855
2131.91268920898,1384.68176283183
2132.30270385742,1297.24715865278
2132.69302368164,1428.61426291725
2133.08303833008,1358.52114200043
2133.47305297852,1531.18959469253
2133.86306762695,1643.60065230228
2134.2529296875,2034.99768006688
2134.64279174805,1967.84968961878
2135.0325012207,2938.99720586365
2135.42221069336,6576.85033159141
2135.81176757813,10836.4573772819
2136.20132446289,4123.99376781996
2136.59103393555,1958.51126221405
2136.98043823242,1593.20993807445
2137.36968994141,1433.03330640132
2137.75909423828,1663.89013729519
2138.14849853516,2096.84375616323
2138.53759765625,1931.83971222869
2138.92684936523,1487.13158649442
2139.31579589844,1364.26773871286
2139.70489501953,1335.26198896404
2140.09384155273,1210.8886594274
2140.48278808594,1298.41626918895
2140.87158203125,1261.27337481329
2141.26052856445,1255.79753204038
2141.64916992188,1241.12902867563
2142.03796386719,1382.23742750733
2142.42645263672,1279.36067202548
2142.81509399414,1394.83026448067
2143.20343017578,1401.01050866535
2143.59176635742,1235.06851996047
2143.98010253906,1258.99638100338
2144.36859130859,1414.59895776029
2144.75677490234,1363.45134703195
2145.14495849609,1296.30178201914
2145.53298950195,1415.76685806925
2145.9211730957,1382.53553734149
2146.30905151367,1257.88938546169
2146.69692993164,1392.70068662196
2147.0849609375,1471.09737587048
2147.47268676758,1361.22779081536
2147.86041259766,1535.46531103524
2148.24813842773,2268.93844846042
2148.63571166992,4033.79589673929
2149.02328491211,3059.75555040603
2149.41070556641,1689.22065186593
2149.79827880859,1593.46038796142
2150.185546875,1540.64168304248
2150.5729675293,1534.09066066331
2150.9602355957,1457.97910415079
2151.34719848633,1479.94249123875
2151.73446655273,1355.11629437527
2152.12142944336,1413.26627546348
2152.50854492188,1404.22315565339
2152.8955078125,1342.85413853085
2153.28231811523,1302.11943744597
2153.66928100586,1307.34371961463
2154.05609130859,1619.97629624941
2154.44274902344,1593.48601704124
2154.82925415039,1466.03908719986
2155.21591186523,1285.61699342665
2155.60241699219,1314.56443030784
2155.98876953125,1212.94941904531
2156.37512207031,1212.50182224507
2156.76147460938,1245.03554498577
2157.14782714844,1108.17153115988
2157.53387451172,1264.0945851561
2157.92022705078,1388.7686673626
2158.30627441406,1303.74765376963
2158.69232177734,1264.73262535409
2159.07821655273,1182.97689999664
2159.46395874023,1179.36833124816
2159.84985351563,1191.43322990286
2160.23574829102,1495.24043056217
2160.62149047852,1308.2718023072
2161.00708007813,1526.73809123929
2161.39266967773,1562.16504741671
2161.77825927734,1585.55172976063
2162.16369628906,1685.03800224094
2162.54898071289,1510.93851715151
2162.93441772461,1429.6810609022
2163.31970214844,1344.5453996842
2163.70468139648,1303.38417651648
2164.0901184082,1407.19575550528
2164.47509765625,1750.81688554559
2164.86022949219,2139.72523064591
2165.24505615234,1612.2155596727
2165.63003540039,1332.1570084875
2166.01501464844,1346.99212723057
2166.3996887207,1424.62324516653
2166.78436279297,1546.32320143979
2167.16903686523,1550.24942720887
2167.55355834961,1619.30176371313
2167.93823242188,1717.50542357357
2168.32275390625,1729.33680595212
2168.70697021484,1701.34868496111
2169.09133911133,1654.60765045106
2169.4758605957,1540.26336051783
2169.85992431641,1389.67589349363
2170.244140625,1556.17346531578
2170.6282043457,1615.11669069633
2171.01226806641,1524.4889579318
2171.39617919922,1581.15864486665
2171.78009033203,1594.07065158031
2172.16400146484,1651.75393027311
2172.54776000977,1804.15945433329
2172.9313659668,1903.23625449563
2173.31512451172,2014.25981104998
2173.69873046875,2014.43777267958
2174.08233642578,1774.89614297552
2174.46578979492,1783.26344988988
2174.84924316406,1681.41999179749
2175.23239135742,1601.55633237907
2175.61569213867,1333.54598145322
2175.99914550781,1457.55790634416
2176.38229370117,1246.38520044336
2176.76528930664,1394.50662624433
2177.14859008789,1381.5065908489
2177.53143310547,1442.69346874102
2177.91427612305,1533.7908321511
2178.29711914063,2153.21780379109
2178.6799621582,4083.19787105526
2179.06265258789,6311.54753570124
2179.44519042969,3725.58157800553
2179.82803344727,1612.5843998486
2180.21057128906,1460.64634026913
2180.59295654297,1382.83267641918
2180.97549438477,1554.140845537
2181.35787963867,2189.39110648112
2181.74011230469,1847.07823668114
2182.1223449707,1232.12209196067
2182.50457763672,1220.48435675396
2182.88650512695,1204.90660105607
2183.26858520508,990.653232229709
2183.65081787109,1149.77510897443
2184.03259277344,1178.86886396989
2184.41452026367,1082.19474634889
2184.79629516602,1037.49190539738
2185.17807006836,1120.35550158432
2185.5598449707,1194.88206515193
2185.94116210938,1180.99136894033
2186.32278442383,1278.23181650042
2186.70425415039,1312.31012570636
2187.08572387695,1230.18676422493
2187.46719360352,1253.80793995079
2187.84851074219,1114.30558527842
2188.22967529297,1240.45864224455
2188.61068725586,1453.37435800802
2188.99215698242,2656.21222116006
2189.37301635742,4606.94378177178
2189.75402832031,2224.13023294548
2190.13488769531,1382.09836637157
2190.51574707031,1277.06035944679
2190.89645385742,1596.54338568686
2191.27731323242,2180.19542957419
2191.65802001953,5006.4164832225
2192.03857421875,8701.41857193717
2192.41912841797,3442.46837414137
2192.79983520508,1609.00701461605
2193.18008422852,1383.43601511424
2193.56048583984,1309.6057419538
2193.94073486328,1256.56597843297
2194.32083129883,1202.66575958693
2194.70108032227,1260.60322792399
2195.0813293457,1242.24732022917
2195.46127319336,1269.55525222247
2195.84121704102,1284.32984290085
2196.22116088867,1327.46573695262
2196.60110473633,1236.33405056414
2196.98089599609,1357.00589787343
2197.36068725586,1302.1076332624
2197.74017333984,1426.54035929032
2198.11981201172,1599.88352997259
2198.4992980957,1848.32087074303
2198.87878417969,2892.69658308805
2199.25827026367,5446.13841634958
2199.63775634766,4176.49272025206
2200.01693725586,2218.19422859201
2200.39627075195,1665.45495864669
2200.77545166016,1681.45227352286
2201.15463256836,1654.44552230878
2201.53366088867,1618.1329652055
2201.9123840332,1662.72128670338
2202.29141235352,1728.59262148994
2202.67013549805,1917.82253241429
2203.04916381836,2049.47829498101
2203.42788696289,2392.22222887503
2203.80645751953,2623.20289798441
2204.18518066406,2652.51872245562
2204.5637512207,2319.66881259919
2204.94232177734,2112.12190969396
2205.3205871582,1954.96966027087
2205.69885253906,1831.87453477684
2206.07711791992,1836.82985128983
2206.45523071289,1873.74797709741
2206.83364868164,1847.46335197749
2207.21160888672,1932.66302768138
2207.58972167969,2130.14988848392
2207.96768188477,2354.50538107477
2208.34579467773,2667.47738775856
2208.72360229492,2985.41282139816
2209.10125732422,3278.22732769004
2209.47906494141,3825.95618917013
2209.85656738281,5585.62280297532
2210.23422241211,4335.75468596382
2210.61187744141,2468.6492775099
2210.98922729492,2076.24822595047
2211.36657714844,1780.05380789762
2211.74392700195,1720.69599990641
2212.12127685547,1628.22427832624
2212.49847412109,1535.59644210988
2212.87567138672,1583.18827310961
2213.25271606445,1562.7872342988
2213.62976074219,1737.30410617047
2214.00680541992,2033.92133049188
2214.38369750977,2478.65835893054
2214.76058959961,2103.38157613405
2215.13717651367,1774.63972029395
2215.51406860352,1596.95153765648
2215.89080810547,1557.78730904354
2216.26724243164,1598.94942076877
2216.64367675781,1458.18820797139
2217.02011108398,1739.13412036145
2217.39654541016,3158.2189303975
2217.77282714844,6368.73335622753
2218.14926147461,3132.24710231661
2218.525390625,1425.02877616998
2218.90151977539,1204.6007345399
2219.27764892578,1102.91889121555
2219.65377807617,1049.25293547132
2220.02975463867,1060.80862802768
2220.40557861328,1092.66672363772
2220.78140258789,965.343758182489
2221.15707397461,985.921120295037
2221.53274536133,1005.46041664467
2221.90826416016,895.040333621391
2222.28408813477,937.752879278191
2222.6594543457,936.958582382132
2223.03497314453,999.32903433359
2223.41049194336,898.190598336662
2223.78570556641,934.637734008375
2224.16107177734,902.756511268794
2224.5361328125,909.964133123021
2224.91134643555,1170.73926587719
2225.28625488281,1724.59028592501
2225.66131591797,1418.95503383
2226.03637695313,1040.15296512027
2226.4111328125,1249.72726060759
2226.78604125977,1701.32639632135
2227.16079711914,3093.65491595851
2227.53555297852,4398.04448119642
2227.91015625,3261.50751375616
2228.28460693359,3546.05479405631
2228.65905761719,3778.35410773764
2229.03350830078,2073.32309215062
2229.40780639648,3084.20168148657
2229.78210449219,5509.58875265826
2230.15640258789,3120.36217645547
2230.5305480957,1495.41855846858
2230.90469360352,1050.76620363527
2231.27883911133,1018.83171767919
2231.65267944336,935.657445384348
2232.02682495117,896.833306540738
2232.4006652832,970.826094769695
2232.77435302734,918.463691967872
2233.14804077148,828.685493950656
2233.52172851563,867.100206286915
2233.89541625977,920.322583245773
2234.26895141602,848.03649253401
2234.64233398438,799.107139938134
2235.01586914063,881.50817243149
2235.38925170898,910.58971272538
2235.76248168945,871.070322367029
2236.13555908203,867.557136617507
2236.5087890625,872.291155419553
2236.88186645508,875.741095536107
2237.25494384766,777.984935197857
2237.62802124023,827.309385040489
2238.00079345703,822.109545700791
2238.37371826172,791.666844001251
2238.74649047852,766.921647065629
2239.11911010742,818.564371725532
2239.49188232422,770.474562267331
2239.86434936523,815.828324235429
2240.23681640625,812.417454313763
2240.60928344727,909.731394106243
2240.98190307617,968.823910872107
2241.35406494141,1079.24908702395
2241.72637939453,1979.65204624894
2242.09854125977,5787.55995042454
2242.470703125,5536.11882427853
2242.84271240234,1754.62240612152
2243.21472167969,1030.22422527281
2243.58673095703,930.769668836216
2243.95858764648,918.435859643252
2244.33029174805,950.386774181398
2244.7021484375,913.885767436424
2245.07385253906,917.201683260264
2245.44555664063,968.701518994147
2245.81695556641,1406.76781094291
2246.18865966797,3352.07516716906
2246.56005859375,9120.40938034479
2246.93145751953,5822.04241001783
2247.30270385742,1660.82315569976
2247.67395019531,1053.42610674737
2248.04489135742,927.6553497015
2248.41613769531,829.804241614963
2248.78723144531,866.898742746746
2249.15832519531,820.996074204932
2249.52911376953,856.444363762845
2249.90005493164,846.909290360957
2250.27084350586,740.005318381766
2250.64147949219,848.050521781943
2251.01226806641,824.517554328323
2251.38275146484,860.427566088467
2251.75323486328,864.978140512641
2252.12371826172,800.839645382235
2252.49420166016,825.318178206301
2252.86468505859,868.690033113587
2253.23471069336,871.719523961564
2253.60504150391,960.593825241054
2253.97537231445,926.959228450829
2254.34524536133,889.10378760315
2254.71542358398,1001.34735820649
2255.08529663086,941.722573525183
2255.45501708984,1050.07303331682
2255.82504272461,1019.08784436124
2256.19476318359,1036.16800485155
2256.56448364258,1144.91405145489
2256.93405151367,1129.55557572137
2257.30361938477,1239.43669348006
2257.67333984375,1441.07862082548
2258.04260253906,1523.65980289891
2258.41201782227,1522.23238955158
2258.78143310547,1418.20182438469
2259.15054321289,1442.41036784289
2259.5198059082,1662.76164965702
2259.88891601563,1690.69844786973
2260.25787353516,1849.72757797491
2260.62683105469,1883.1773177305
2260.99578857422,2156.62052304675
2261.36474609375,2406.27932727466
2261.73355102539,2877.27263257367
2262.10220336914,3362.38792398034
2262.47085571289,4200.40512531715
2262.83950805664,4528.804745703
2263.2080078125,4346.9618206478
2263.57666015625,4027.22123102762
2263.94500732422,3352.81362680196
2264.31335449219,2950.81057971645
2264.68154907227,2736.06611349758
2265.04989624023,2554.00329791429
2265.41793823242,2544.63674101679
2265.7861328125,2671.05156085114
2266.15417480469,2649.63528982955
2266.52191162109,2971.34080276352
2266.88980102539,3199.61537258456
2267.25769042969,3743.8421624595
2267.62557983398,4309.9668698019
2267.99331665039,4953.5749254685
2268.36090087891,5267.4552089701
2268.72863769531,4687.35117427501
2269.09606933594,4838.56522915314
2269.46350097656,4228.87062894053
2269.8307800293,3405.23652513128
2270.19805908203,2822.40218512154
2270.56533813477,2395.03541312712
2270.93246459961,2213.42132400144
2271.29974365234,1965.92575065933
2271.6667175293,1743.78671616693
2272.03369140625,1643.68085550453
2272.4006652832,1563.09370357639
2272.76763916016,1456.22065779765
2273.13446044922,1288.13919995755
2273.50112915039,1374.27559685158
2273.86764526367,1198.06488166512
2274.23416137695,1075.79591069121
2274.60083007813,1119.9779395714
2274.9674987793,1073.45424449818
2275.3337097168,1306.92747497515
2275.70007324219,2171.43953329585
2276.06628417969,2156.75423443348
2276.43264770508,1146.00823550582
2276.79870605469,977.544369716525
2277.16491699219,865.967889807044
2277.53082275391,910.000403387902
